"name","comm"
"donspoliticalblog.blogspot.com","lib"
"duckdaotsu.blogspot.com","lib"
"dystopia.blog-city.com","lib"
"eastbaykerry.com","lib"
"elayneriggs.blogspot.com","lib"
"elderbearden.blogspot.com","lib"
"electablog.com","lib"
"elemming2.blogspot.com","lib"
"elissa.typepad.com","lib"
"eltcamerica.blogspot.com","lib"
"emergingdemocraticmajority.com","lib"
"emergingdemocraticmajorityweblog.com/donkeyrising","lib"
"emptyisform.com","lib"
"endthenightmare.blogspot.com","lib"
"enemykombatant.blogspot.com","lib"
"ergio.blogspot.com","lib"
"estropundit.blogspot.com","lib"
"etherealgirl.blogspot.com","lib"
"fafblog.blogspot.com","lib"
"fairshot.org","lib"
"farleft.blogspot.com","lib"
"fiercepoet.com","lib"
"flagrancy.net","lib"
"folkbum.blogspot.com","lib"
"forewarned.blogspot.com","lib"
"frederickclarkson.com","lib"
"fromtheroots.org","lib"
"fuckthisblog.blogspot.com","lib"
"gadflyer.com","lib"
"garbage-house.com","lib"
"georgewbuy.blogspot.com","lib"
"gisleson.com/blog","lib"
"global-equality.org/news/blog/index.shtml","lib"
"goose3five.blogspot.com","lib"
"grassrootsmom.blogspot.com","lib"
"grassrootsnation.com","lib"
"greaterdemocracy.org","lib"
"greendogdemocrat.blogspot.com","lib"
"gregpalast.com","lib"
"grupo-utopia.com/blog/isou","lib"
"hal9000report.blogdrive.com","lib"
"hategun.com","lib"
"hellafaded.blogspot.com","lib"
"hellskitchennyc.blogspot.com","lib"
"hereswhatsleft.typepad.com","lib"
"hereswhatsleft.typepad.com/home","lib"
"higherpieproductions.com","lib"
"home.att.net/~gentle.reader","lib"
"home.earthlink.net/~fsrhine","lib"
"home.earthlink.net/~kevin.omeara","lib"
"home.houston.rr.com/skeptical","lib"
"homepage.mac.com/elisa_camahort/iblog","lib"
"hotflashesfromthecampaigntrail.blogspot.com","lib"
"hotflashreport.com","lib"
"howienfriends.blogspot.com","lib"
"hugozoom.blogspot.com","lib"
"ibe.blogspot.com","lib"
"ibrutus.com","lib"
"iddybud.blogspot.com","lib"
"idiosyncratictendencies.com","lib"
"idlehandsmag.com/yellowdog04","lib"
"iflipflop.com","lib"
"ignatz.blogspot.com","lib"
"ihatepatrobertson.com","lib"
"ilovecynics.com","lib"
"insanepreschoolmom.blogspot.com","lib"
"interestingtimes.blogspot.com","lib"
"interestingtimes.typepad.com","lib"
"ironmouth.com","lib"
"irregulartimes.com/blogger.html","lib"
"islanddave.blogspot.com","lib"
"itlookslikethis.blogeasy.com","lib"
"ivotedforgeorge.com","lib"
"iwantmycountryback.org","lib"
"j-bradford-delong.net/movable_type","lib"
"jadbury.com","lib"
"jadbury.com/blog","lib"
"jadedreality.blogspot.com","lib"
"jameswolcott.com","lib"
"janm.blogspot.com","lib"
"jbcougar.blogspot.com","lib"
"jdeeth.blogspot.com","lib"
"jeremybrendan.blogspot.com","lib"
"jetage.blogspot.com","lib"
"jewssansfrontieres.blogspot.com","lib"
"jimgilliam.com","lib"
"jimtreacher.com","lib"
"jinkythecat.blogspot.com","lib"
"jmbzine.com","lib"
"joebrent.blogspot.com","lib"
"john.hoke.org","lib"
"johnmccrory.com","lib"
"johnnynobody.blogspot.com","lib"
"journals.aol.com/breuvers/madashellnotgoingtotakeitanymore","lib"
"juancole.com","lib"
"julietterossant.com/superchefblog/superchefblog.html","lib"
"juliusblog.blogspot.com","lib"
"justmark.com","lib"
"karlhenderson.blogspot.com","lib"
"karmicsoup.blogspot.com","lib"
"kcdems.blogspot.com","lib"
"kensain.com","lib"
"kerryforpresident2008.blogspot.com","lib"
"kicktheleftist.blogspot.com","lib"
"kiosan.blogharbor.com","lib"
"kippsblog.com","lib"
"kurtkk.blogspot.com","lib"
"kydem.blogspot.com","lib"
"lastdaysoftherepublic.fatoprofugus.net","lib"
"lawdork.blogspot.com","lib"
"leanleft.com","lib"
"left2right.typepad.com","lib"
"lefterer.com","lib"
"lefti.blogspot.com","lib"
"leftinthereign.blogspot.com","lib"
"leftthought.blogspot.com","lib"
"lefttimes.com","lib"
"leftwingnation.com","lib"
"lendmesomesugar.blogs.com/shut_up_already","lib"
"lennonreport.blogspot.com","lib"
"leonards-digest.blogspot.com","lib"
"liberalangst.org","lib"
"liberalavenger.com","lib"
"liberaleric.blogspot.com","lib"
"liberaloasis.com","lib"
"liberalreview.blogspot.com","lib"
"liberalthunderdome.blogspot.com","lib"
"lightupthedarkness.org","lib"
"lightupthedarkness.org/blog/default.asp","lib"
"limericksavant.blogspot.com","lib"
"liquidlist.com","lib"
"livejournal.com/users/hoptkov","lib"
"livejournal.com/users/jmhm","lib"
"loadedmouth.com","lib"
"lorenjavier.blogspot.com","lib"
"loud-liberal.blogspot.com","lib"
"loveamericahatebush.com","lib"
"lowrentrat.blogdrive.com","lib"
"ltobs.blogspot.com","lib"
"ludis.blogspot.com","lib"
"ludovicspeaks.typepad.com","lib"
"ludovicspeaks.typepad.com/real_deal","lib"
"madkane.com/notable.html","lib"
"maggiespants.co.uk","lib"
"mahablog.com","lib"
"marcbrazeau.blogspot.com","lib"
"margaretcho.com/blog/blog.htm","lib"
"margieburns.com","lib"
"markadams.blogdrive.com","lib"
"markarkleiman.com","lib"
"markschmitt.typepad.com/decembrist","lib"
"markwarnerforpresident2008.blogspot.com","lib"
"maruthecrankpot.blogspot.com","lib"
"massachusetts-liberal.com","lib"
"mathewgross.com","lib"
"mathewgross.com/blog","lib"
"matthewyglesias.com","lib"
"maultasch.us","lib"
"maxspeak.org/mt","lib"
"mayflowerhill.blogspot.com","lib"
"mcwil.blogspot.com","lib"
"meanspirit.blogspot.com","lib"
"meateatingleftist.com","lib"
"mediajunkie.com/edgewise","lib"
"mediaprima.com/nv1962","lib"
"messengerpuppet.com/blog","lib"
"metropol47.blogspot.com","lib"
"michael124.blogspot.com","lib"
"michaelberube.com","lib"
"michaelphillips.blogspot.com","lib"
"mickikrimmel.com/redcarpet","lib"
"midguard.blogspot.com","lib"
"minagahet.blogspot.com","lib"
"mirocat.com","lib"
"misschin.bloggage.com","lib"
"mixtersmix.blogspot.com","lib"
"montages.blogspot.com","lib"
"moxiegrrrl.com","lib"
"mrleft.org","lib"
"msnbc.msn.com/id/3449870","lib"
"mstabile.blogspot.com","lib"
"mydd.com","lib"
"myleftbrain.com","lib"
"myleftthoughts.blogspot.com","lib"
"mysterypollster.com/main","lib"
"nastyboys.blogspot.com","lib"
"nathancallahan.com","lib"
"nathannewman.org/log","lib"
"nationalreview.com/frum/frum-diary.asp","lib"
"ndnblog.org","lib"
"nearouterheaven.blogspot.com","lib"
"nebursworld.blogspot.com","lib"
"needlenose.com","lib"
"nerofiddled.blogspot.com","lib"
"netpolitik.blogspot.com","lib"
"netweed.com/postmodernanarchist","lib"
"newappeal.blogspot.com","lib"
"newdemocrat.blogdrive.com","lib"
"newdonkey.com","lib"
"newleftblogs.blogspot.com","lib"
"nielsenhayden.com/electrolite","lib"
"nielsenhayden.com/makinglight","lib"
"njfordemocracy.org","lib"
"node707.com","lib"
"nofearoffreedom.blogspot.com","lib"
"nomoremister.blogspot.com","lib"
"norbizness.com","lib"
"noseyonline.com","lib"
"nosmallplans.com/rants","lib"
"notbush.com","lib"
"notgeniuses.com","lib"
"nycitystoop.com","lib"
"obamablog.com","lib"
"obsidianwings.blogs.com","lib"
"oddhours.blogspot.com","lib"
"offthekuff.com/mt","lib"
"oipp.blogspot.com","lib"
"oliverwillis.com","lib"
"one38.org","lib"
"openeyesmemo.com","lib"
"orient-lodge.com","lib"
"ospolitics.org","lib"
"oxblog.blogspot.com","lib"
"pacdaily.com","lib"
"pacificviews.org","lib"
"pandagon.net","lib"
"parabasis.typepad.com","lib"
"patriotboy.blogspot.com","lib"
"pattymurray.com/blog.php","lib"
"paulchasman.com","lib"
"peacegarden.blogspot.com","lib"
"penheaded.blogspot.com","lib"
"pennywit.com/drupal","lib"
"permanentred.com","lib"
"peskytherat.com/pesky","lib"
"phillybri.blogspot.com","lib"
"philoponia.blogspot.com","lib"
"philosophers-stone.blogspot.com","lib"
"philvbblog.blogspot.com","lib"
"phoblographer.com","lib"
"pinkofeministhellcat.typepad.com/pinko_feminist_hellcat","lib"
"planetdave.com/blogs.php3?mid=1","lib"
"politicalmonitor.us/blog","lib"
"politicalstrategy.org","lib"
"politicalthought.net","lib"
"politicalwire.com","lib"
"politics.feedster.com","lib"
"politicswithrichard.blogspot.com","lib"
"polizeros.com","lib"
"pollsterseek.blogspot.com","lib"
"polstate.com","lib"
"portapulpit.com","lib"
"praguewriter.typepad.com","lib"
"presidentboxer.blogspot.com","lib"
"prestoncaldwellblog.blogspot.com","lib"
"profgoose.blogspot.com","lib"
"progressiveink.com","lib"
"progressivesociety.com/blog","lib"
"proponentofreason.blogspot.com","lib"
"prospect.org/weblog","lib"
"pudentilla.blogspot.com","lib"
"punditician.blogspot.com","lib"
"purplestates.blogspot.com","lib"
"qando.net","lib"
"question-dean.blogspot.com","lib"
"radgeek.com","lib"
"radikal_papi.pitas.com","lib"
"radio.weblogs.com/0131587/categories/flush","lib"
"raedinthemiddle.blogspot.com","lib"
"reachm.com/amstreet","lib"
"readingpost.com","lib"
"realitybasednation.com","lib"
"red-harvest.blogspot.com","lib"
"religiousleft.blogspot.com","lib"
"republicoft.typepad.com","lib"
"resistoppression.blogspot.com","lib"
"restoreamerica.blogspot.com","lib"
"retrogrouch.net","lib"
"rhetoricrhythm.blogspot.com","lib"
"righthandthief.blogspot.com","lib"
"rising-hegemon.blogspot.com","lib"
"risinghegemon.blogspot.com","lib"
"rittenhouse.blogspot.com","lib"
"riverbendblog.blogspot.com","lib"
"roadtosurfdom.com","lib"
"robot-invasion.com","lib"
"robschumacher.blogspot.com","lib"
"rogerailes.blogspot.com","lib"
"rooksrant.com","lib"
"rowhouselogic.com","lib"
"roxanne.typepad.com","lib"
"rudepundit.blogspot.com","lib"
"ruminatethis.com","lib"
"s88172659.onlinehome.us/spockosbrain.html","lib"
"sadlyno.com","lib"
"saveoursenate.blogspot.com","lib"
"sccdp.org/blog.php","lib"
"schadelmann.com","lib"
"scoobiedavis.blogspot.com","lib"
"scottcsmith.net","lib"
"scripting.com","lib"
"scrutinyhooligans.blogspot.com","lib"
"seeingtheforest.com","lib"
"seetheforest.blogspot.com","lib"
"sethdmichaels.com","lib"
"shakespearessister.blogspot.com","lib"
"shamelessantagonist.blogspot.com","lib"
"sharedthought.com/weblog","lib"
"shininglight.us","lib"
"shoegal.modblog.com","lib"
"shotofpolitics.blogspot.com","lib"
"shrillblog.blogspot.com","lib"
"simbaud.blogspot.com","lib"
"simplyappalling.blogspot.com","lib"
"smirkingchimp.com","lib"
"smithersmpls.com","lib"
"snunes.blogspot.com","lib"
"someonetakethewheel.blogspot.com","lib"
"soonerthought.com","lib"
"southknoxbubba.net/skblog","lib"
"spacedog26.blogspot.com","lib"
"spectatorsport.blogspot.com","lib"
"stagefour.typepad.com/commonprejudice","lib"
"stalinism.com/shot-by-both-sides","lib"
"stcfoundation.blogspot.com","lib"
"stephenbates.com/yellowdoggereldemocrat","lib"
"stevecopy.blogharbor.com","lib"
"stevegilliard.blogspot.com","lib"
"steveguy.me.uk","lib"
"stevemacek.blogspot.com","lib"
"stillfighting.blogspot.com","lib"
"stitt.blogspot.com","lib"
"strangedoctrines.typepad.com","lib"
"strangesemantics.blogspot.com","lib"
"suburbanguerrilla.blogspot.com","lib"
"swamiuptown.com","lib"
"swingstateproject.com","lib"
"takebackthemedia.com","lib"
"talkingpointsmemo.com","lib"
"talkleft.com","lib"
"tallone.org","lib"
"tbogg.blogspot.com","lib"
"teenageenthusiast.blogspot.com","lib"
"tesibria.typepad.com/democracy_is_coming","lib"
"thatcoloredfellasweblog.bloghorn.com","lib"
"thatgoodnight.com","lib"
"the-goddess.org","lib"
"the-hamster.com","lib"
"theaggpro.blogspot.com","lib"
"theagitator.blogspot.com","lib"
"theangryliberal.blogspot.com","lib"
"theantibush.org","lib"
"theapologist.blogspot.com","lib"
"theblogwarrior.blogspot.com","lib"
"theblueview.blogspot.com","lib"
"thecarpetbaggerreport.com","lib"
"thecore4.com","lib"
"thefulcrum.blogspot.com","lib"
"theleftcoaster.com","lib"
"thelucideye.blogspot.com","lib"
"thepeach.blogspot.com","lib"
"thepoorman.net","lib"
"theradiomansays.blogspot.com","lib"
"therogueangel.com/blog","lib"
"thesnooter.blogspot.com","lib"
"thetalentshow.org","lib"
"thetalkingdog.com","lib"
"thewashingtonnote.com","lib"
"theworldaroundyou.com","lib"
"thewritewing.blogspot.com","lib"
"theyetimn.blogspot.com","lib"
"thingsasitis.net","lib"
"think2004.com","lib"
"thinkingrocks.blogspot.com","lib"
"thirdredeye.blogspot.com","lib"
"thislousytshirt.net","lib"
"thismodernworld.com","lib"
"thomasblog.typepad.com/bloggg","lib"
"thunewatch.squarespace.com","lib"
"tinylittledots.com","lib"
"tobyemden.blogspot.com","lib"
"tomburka.com","lib"
"tomcoburnisabigfatjerk.blogspot.com","lib"
"tomherod.blogspot.com","lib"
"toteota.blogspot.com","lib"
"trainorphans.org","lib"
"translucence.org","lib"
"travalex.blogspot.com","lib"
"tristero.blogspot.com","lib"
"trueconservative.typepad.com","lib"
"truedemocrat.blogspot.com","lib"
"turnpikefeminist.com","lib"
"turnspit.com","lib"
"uberdude.blogspot.com","lib"
"uggabugga.blogspot.com","lib"
"unodemocrats.com/blog","lib"
"upper-left.blogspot.com","lib"
"urbandemocracy.blogspot.com","lib"
"urbanecoinc.com/wordpress1","lib"
"usademocrazy.blogspot.com","lib"
"usliberals.about.com","lib"
"vernsblog.thegillfamily.us:8180","lib"
"virginiaprogressive.blogspot.com","lib"
"vocis.com/frank","lib"
"waitingfordorothy.blogspot.com","lib"
"wampum.wabanaki.net","lib"
"warandpiece.com","lib"
"washingtonmonthly.com","lib"
"watchingthewatchers.org","lib"
"waveflux.net","lib"
"weblogs.bakshi.us/redskunk","lib"
"whopundit.blogspot.com","lib"
"whoviating.blogspot.com","lib"
"whyareweback.blogspot.com","lib"
"winnegar.blog-city.com","lib"
"winthewest.blogspot.com","lib"
"woneffe.typepad.com","lib"
"wonkette.com","lib"
"worldonfire.typepad.com/world_on_fire","lib"
"wpblog.ohpinion.com","lib"
"wsrblood.typepad.com/wiserblog","lib"
"wtpm.blogspot.com","lib"
"x-pollen.com/many/blog.html","lib"
"xnerg.blogspot.com","lib"
"yarsrevenge.blogspot.com","lib"
"yglesias.typepad.com/matthew","lib"
"yoder.ru","lib"
"younglibs.com","lib"
"a100wwe.blogspot.com","con"
"absurd-canadian.blogspot.com","con"
"ace.mu.nu","con"
"aceoftrumpblog.blogspot.com","con"
"acepilots.com/mt","con"
"acertainslantoflight.blogspot.com","con"
"achicknamedmarzi.com","con"
"activistchat.com/blogiran","con"
"adeimantus.blogspot.com","con"
"alamodispatches.blogspot.com","con"
"alamonation.blogspot.com","con"
"alarmingnews.com","con"
"aldaron.modblog.com","con"
"aldaynet.org","con"
"alexpelan.blogspot.com","con"
"alittlemoretotheright.com","con"
"all-encompassingly.com","con"
"allahpundit.com","con"
"allthingsmark.com","con"
"alphapatriot.com","con"
"althouse.blogspot.com","con"
"americanchronicle.blogspot.com","con"
"americandigest.org","con"
"americandinosaur.blogspot.com","con"
"americanfuture.typepad.com","con"
"americankernel.com","con"
"americanreport.blogspot.com","con"
"americanthinker.com","con"
"americanwarmonger.blogspot.com","con"
"americanworldview.tripod.com/weltansblog","con"
"amigo13.blogspot.com","con"
"amradio.blogspot.com","con"
"andrewsullivan.com","con"
"andrightlyso.blogspot.com","con"
"angrychineseblogger.blog-city.com","con"
"angrygwn.blogspot.com","con"
"anncoulter.org","con"
"annika.mu.nu","con"
"anothervrwc.blogspot.com","con"
"antijohnkerry.blogspot.com","con"
"antiprotester.blogspot.com","con"
"apologiesdemanded.blogspot.com","con"
"arkanssouri.blogspot.com","con"
"armchairgeneralist.typepad.com","con"
"asmallvictory.net","con"
"asmodeus-space.com/weblog/blog/index.php","con"
"astrosoup.blogspot.com","con"
"athena.blogs.com","con"
"awideawake.blogspot.com","con"
"ayerdis.com/rants.php","con"
"babytrollblog.com","con"
"baldilocks.typepad.com","con"
"balloon-juice.com","con"
"bamapachyderm.blogspot.com","con"
"batr.net","con"
"batr.org/commentary.html","con"
"beautifulatrocities.com","con"
"beefalwayswins.blogspot.com","con"
"beldar.blogs.com/beldarblog","con"
"bellusbellum.info","con"
"belmontclub.blogspot.com","con"
"bensgtusmc.com","con"
"bensworld.patriotforum.org","con"
"bernardmoon.blogspot.com","con"
"betsyspage.blogspot.com","con"
"bidinotto.journalspace.com","con"
"bigfatroid.blogspot.com","con"
"bigjourney.blogspot.com","con"
"billhobbs.com","con"
"billrice.org","con"
"billroggio.com/easongate","con"
"bitheads.blogspot.com","con"
"bittersweetme.net/blog/index.php","con"
"bkennelly.com/vox","con"
"blackmanforbush.blogspot.com","con"
"blindmindseye.com","con"
"blithered.blogspot.com","con"
"blog.nam.org","con"
"blog.ncsweb.us","con"
"blog.so-amazing.net","con"
"blog.willrobinson47.com","con"
"bloghogger.blogspot.com","con"
"blogicus.com","con"
"blogodob.blogspot.com","con"
"blogsagainsthillary.com","con"
"blogsforbush.com","con"
"blogsofwar.com","con"
"blogspirator.blogspot.com","con"
"blubberhollow.com/blog","con"
"blue6golf.blogspot.com","con"
"bluegoldfish.blogs.com/surface","con"
"bluestates.blogspot.com","con"
"bobhayes.net","con"
"boottotheskull.com","con"
"borgardblog.blogspot.com","con"
"brainshavings.com","con"
"brianscott.blogspot.com","con"
"brutallyhonest.org","con"
"buckeyepundit.blogspot.com","con"
"bullmooserepublicans.com/blog","con"
"bushblog.us","con"
"c-pol.blogspot.com","con"
"californiaconservatives4truth.blogspot.com","con"
"calirep.blogspot.com","con"
"calpoly.edu/~doleary/blog.htm","con"
"captainsquartersblog.com/mt","con"
"catscape.com","con"
"cayankee.blogs.com","con"
"cbcbcbcb.blogspot.com","con"
"ccs178.com","con"
"cdharris.net","con"
"cecile.squarespace.com","con"
"celluloid-wisdom.com/pw","con"
"celluloid-wisdom.com/pw/","con"
"centinel.blogspot.com","con"
"chadster.capitalfocus.org","con"
"chainik_hocker.blogspot.com","con"
"charlesking.blogspot.com","con"
"chiefsblog.blogspot.com","con"
"chrenkoff.blogspot.com","con"
"christian-patriot.blogspot.com","con"
"civilcommotion.com","con"
"claycalhoun.com","con"
"claytoncorner.blogspot.com","con"
"clubforgrowth.org/blog","con"
"cmillertime.blogspot.com","con"
"coffee.ondragonswing.com","con"
"commonsenserunswild.typepad.com","con"
"confederateyankee.blogspot.com","con"
"conservativeblogger.com","con"
"conservativecat.com","con"
"conservativedialysis.com","con"
"conservativeeyes.blogspot.com","con"
"conservativelife.com/blog","con"
"conservativenation.us","con"
"conservativeobserver.blogspot.com","con"
"conservativepolitics.blogspot.com","con"
"conservativepunk.com","con"
"conservativepush.blogspot.com","con"
"conservativeresponse.com","con"
"conservativerevolution.com","con"
"conservativezone.blogspot.com","con"
"coxandforkum.com","con"
"cptnwinky.com","con"
"crankybastard.blogspot.com","con"
"crankyneocon.com/crankyneocon","con"
"cubanstories.blogspot.com","con"
"cybermenace.blogspot.com","con"
"cynicalnation.com","con"
"d-42.com","con"
"daddypundit.blogspot.com","con"
"dadougster.blogspot.com","con"
"dailypundit.com","con"
"dailyrecycler.com/blog","con"
"daisycutter.blogspot.com","con"
"dalythoughts.com","con"
"danieldrezner.com/blog","con"
"danzfamily.com","con"
"dartblog.com","con"
"datingrepublicans.com","con"
"deadcantrant.com/blog","con"
"deanesmay.com","con"
"deansjournal.blogspot.com","con"
"decision08.blogspot.com","con"
"denbeste.nu","con"
"depressedlonelybored.typepad.com","con"
"deserttusk.blogspot.com","con"
"devildawg.blogspot.com","con"
"dgci.net","con"
"diggersrealm.com/mt","con"
"dilusionl.blogspot.com","con"
"diplomadic.blogspot.com","con"
"discerningtexan.blogspot.com","con"
"discountblogger.com","con"
"disintegrator.blogspot.com","con"
"dissectleft.blogspot.com","con"
"dizzy-girl.net/index.php","con"
"dmobley.blogspot.com","con"
"dogwooddreams.com/serendipity","con"
"donaldsensing.com","con"
"downtownlad.blogspot.com","con"
"drudgereport.com","con"
"drumwaster.com","con"
"drunkensamurai.blogspot.com","con"
"dummocrats.com","con"
"dynamist.com/weblog","con"
"economicswithaface.com/weblog","con"
"eeg3.com","con"
"ejectejecteject.com","con"
"electionprojection.com","con"
"electricvenom.com","con"
"elevendayempire.com/movabletype","con"
"emilythedog.blogspot.com","con"
"erickohn.com","con"
"erikack.blogspot.com","con"
"etalkinghead.com","con"
"evangelicaloutpost.com","con"
"everythingiknowiswrong.com","con"
"evilpundit.com","con"
"fearfulsymmetry.blogspot.com","con"
"firstdownpolitics.com","con"
"franklog.com","con"
"fraterslibertas.com","con"
"freedomofthought.com","con"
"freerepublic.com","con"
"fringeblog.com","con"
"fritzs-thoughts.blogspot.com","con"
"gaypatriot.blogspot.com","con"
"gccpundit.blogspot.com","con"
"gcruse.typepad.com","con"
"georgewbush.com","con"
"gerberatetra.blogspot.com","con"
"gevkaffeegal.typepad.com/the_alliance","con"
"ghostofaflea.com","con"
"gindy.blogspot.com","con"
"gmscorner.blogspot.com","con"
"godubya.com","con"
"gopandcollege.blogspot.com","con"
"gopandthecity.blogspot.com","con"
"gopbloggers.org","con"
"gopinsight.com","con"
"gotdesign.blogspot.com","con"
"greatestjeneration.com","con"
"grownups.blogspot.com","con"
"gullyborg.typepad.com","con"
"happyhomeschooler.blog-city.com","con"
"hasidicgentile.org","con"
"hathaby.net/weblog.php","con"
"headland.blogspot.com","con"
"healingiraq.blogspot.com","con"
"heavylifting.blogspot.com","con"
"hectorvex.blogspot.com","con"
"henerd.com","con"
"hiddennook.blogspot.com","con"
"hillcountryviews.blogspot.com","con"
"hipublican.com","con"
"hobsonschoice.us","con"
"holecard.blogspot.com","con"
"home.earthlink.net/~techservant","con"
"home.midsouth.rr.com/joefish","con"
"homespunbloggers.blogspot.com","con"
"homicidalmaniak.com","con"
"horologium.net","con"
"hughhewitt.com","con"
"iamaugustus.blogspot.com","con"
"ikilledcheguevara.blogspot.com","con"
"imao.us","con"
"imprescindibile.ilcannocchiale.it","con"
"incite1.blogspot.com","con"
"indcjournal.com","con"
"indepundit.com","con"
"instapundit.com","con"
"interested-participant.blogspot.com","con"
"inthebullpen.com","con"
"iowageek.blogspot.com","con"
"iraqthemodel.blogspot.com","con"
"isdl.blogspot.com","con"
